#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,F1 nivel1,F1 nivel4,F1 promedio
22,32,128,2,2,128,128,0.0,1e-05,0.001,0.3471645919778701,0.6839080459770116,0.8011006289308176,0.7275132275132273,0.5243084370677732,0.8074712643678161,0.8844339622641509,0.8359788359788359,"[261, 212, 189, 158]",0.417732548360151,0.7779836883051772,0.5978581183326641
17,128,128,2,2,128,128,0.0,1e-05,0.001,0.3665283540802215,0.6783950617283948,0.8138629283489096,0.6746453900709217,0.5422890733056708,0.7861111111111111,0.8761682242990654,0.8563829787234043,"[270, 214, 188, 162]",0.4374130941703849,0.7547277901661963,0.5960704421682905
23,32,128,3,2,128,128,0.0,1e-05,0.001,0.3395573997233747,0.6835205992509361,0.7910685805422647,0.7126126126126126,0.5343360995850621,0.7780898876404494,0.8827751196172249,0.8324324324324325,"[267, 209, 185, 155]",0.4152400188284184,0.7678764478764478,0.5915582333524331
38,64,128,2,2,128,128,0.2,0.0001,0.001,0.3568464730290457,0.6287581699346404,0.7789291882556133,0.6930894308943089,0.5092093130474873,0.7531372549019608,0.8393782383419689,0.8445121951219512,"[255, 193, 164, 139]",0.4196255029199273,0.7613447681072976,0.5904851355136125
27,32,128,2,2,128,128,0.2,1e-05,0.001,0.3623789764868603,0.7038461538461539,0.7895148669796557,0.6808510638297871,0.5190064545873675,0.8125,0.8755868544600939,0.8404255319148937,"[260, 213, 188, 158]",0.4267758943421997,0.7522690075881564,0.5895224509651781
38,32,64,3,2,128,64,0.1,1e-05,0.001,0.34716459197787,0.6758169934640523,0.748743718592965,0.6972386587771203,0.5128976486860304,0.7741830065359477,0.8442211055276382,0.8402366863905325,"[255, 199, 169, 143]",0.4140628306040884,0.7620876680925035,0.5880752493482959
48,32,64,2,3,128,64,0.0,1e-05,0.001,0.3067081604426002,0.6528925619834711,0.7605893186003683,0.731359649122807,0.4841977869986169,0.7448347107438017,0.8342541436464088,0.8256578947368421,"[242, 181, 152, 126]",0.3755374783087247,0.7756532616753151,0.5755953699920199
26,128,64,3,2,64,128,0.2,1e-05,0.001,0.3540802213001386,0.6704402515723276,0.8214285714285716,0.6753472222222222,0.5289188566159521,0.7858490566037736,0.9047619047619048,0.7838541666666666,"[265, 210, 192, 151]",0.4241900370776816,0.7255663791394011,0.5748782081085414
31,128,128,3,3,128,128,0.2,1e-05,0.001,0.3686030428769016,0.633974358974359,0.7710437710437711,0.6619585687382298,0.5187298294144768,0.7576923076923077,0.8863636363636364,0.7824858757062146,"[260, 198, 177, 139]",0.4309665504884058,0.7171937035481994,0.5740801270183027
44,64,64,4,2,64,128,0.2,0.0001,0.001,0.3464730290456432,0.6171875000000002,0.7929553264604812,0.655688622754491,0.5139349930843706,0.7548828125,0.8530927835051546,0.8173652694610778,"[256, 194, 167, 137]",0.4139073769807012,0.7276544472031548,0.5707809120919279
47,64,64,4,2,128,64,0.1,0.0001,0.001,0.3077455048409407,0.6336206896551724,0.7656862745098041,0.7068965517241379,0.4610304287690179,0.7295258620689655,0.8421568627450979,0.8482758620689655,"[232, 170, 145, 124]",0.369106356860906,0.7711598746081504,0.5701331157345282
30,64,64,4,2,128,128,0.1,0.0001,0.001,0.3395573997233749,0.6300813008130085,0.7331560283687942,0.6644736842105263,0.4921507607192254,0.7611788617886179,0.8031914893617021,0.8092105263157895,"[246, 188, 152, 124]",0.4018559406529576,0.7297344924812029,0.5657952165670803
33,64,128,4,3,64,128,0.1,1e-05,0.001,0.3125864453665284,0.5965277777777777,0.8038095238095236,0.6935483870967741,0.4817773167358229,0.7239583333333334,0.8780952380952382,0.8096774193548387,"[240, 175, 155, 126]",0.3791639701642658,0.7471272324518897,0.5631456013080778
38,32,64,3,3,64,128,0.1,1e-05,0.001,0.3118948824343014,0.6298527443105757,0.7914389799635704,0.6842650103519669,0.4994121715076072,0.7339357429718876,0.8688524590163934,0.8012422360248447,"[249, 183, 161, 129]",0.3839831042065052,0.7381478996688814,0.5610655019376933
71,32,64,2,2,128,64,0.2,0.0001,0.001,0.3533886583679116,0.6046831955922868,0.7632058287795992,0.6419354838709677,0.4849585062240664,0.7458677685950413,0.8387978142076503,0.7967741935483871,"[242, 183, 155, 124]",0.4088493242821167,0.7110227108346594,0.5599360175583881
62,64,64,3,2,64,64,0.2,0.0001,0.001,0.3450899031811894,0.6187584345479085,0.7824561403508772,0.6380368098159509,0.4919202397418165,0.7633603238866398,0.8473684210526315,0.8006134969325154,"[247, 190, 163, 132]",0.4056264057029147,0.7101390505840649,0.5578827281434898
51,32,128,3,2,128,128,0.2,0.0001,0.001,0.3201936376210234,0.5749999999999998,0.8087121212121212,0.673202614379085,0.480232826187183,0.73125,0.8551136363636364,0.7908496732026143,"[240, 176, 153, 121]",0.3842139221392452,0.7272992530345471,0.5557565875868962
55,32,128,4,2,64,64,0.1,0.0001,0.001,0.3326417704011067,0.6235059760956176,0.74777183600713,0.6279569892473118,0.5025242047026279,0.7400398406374502,0.820855614973262,0.7741935483870968,"[251, 187, 155, 120]",0.4003049599833795,0.6934494359786265,0.546877197981003
